iter	MultiClass
378	1.089695513
379	1.089624045
380	1.089524907
381	1.089416387
382	1.089342132
383	1.08926811
384	1.089165213
385	1.089035439
386	1.088947526
387	1.088848749
388	1.088703412
389	1.088578149
390	1.088450009
391	1.088346344
392	1.088193478
393	1.088108434
394	1.087998774
395	1.087870897
396	1.087765989
397	1.087654375
398	1.087530915
399	1.087439749
400	1.087312587
401	1.087210986
402	1.087127774
403	1.086995858
404	1.086876419
405	1.086779813
406	1.08666079
407	1.086559967
408	1.086504781
409	1.086396004
410	1.086328622
411	1.086212577
412	1.086121702
413	1.086003131
414	1.085915551
415	1.085817394
416	1.085759291
417	1.085657439
418	1.085594842
419	1.085473114
420	1.085387119
421	1.085292015
422	1.085151252
423	1.085052788
424	1.084936081
425	1.084862545
426	1.08477205
427	1.084688504
428	1.084589916
429	1.084497853
430	1.084416896
431	1.084329261
432	1.084206499
433	1.084139693
434	1.084056053
435	1.083990555
436	1.083893368
437	1.083793936
438	1.083684969
439	1.083585846
440	1.083509562
441	1.08342592
442	1.083363828
443	1.083264563
444	1.083149605
445	1.083045405
446	1.082960105
447	1.082837347
448	1.082751019
449	1.082665567
450	1.082576756
451	1.082503996
452	1.082421962
453	1.082327762
454	1.082222278
455	1.082134134
456	1.082032371
457	1.081968339
458	1.08185512
459	1.081762278
460	1.081691824
461	1.081607513
462	1.081495516
463	1.081417459
464	1.081314254
465	1.081232983
466	1.081144912
467	1.081069613
468	1.080951846
469	1.080860261
470	1.080779126
471	1.080713535
472	1.080624012
473	1.080513363
474	1.08044257
475	1.080380797
476	1.080318728
477	1.080234064
478	1.080154295
479	1.080066476
480	1.079999002
481	1.079879014
482	1.07976679
483	1.079693763
484	1.079630415
485	1.079497536
486	1.079413914
487	1.079338977
488	1.079266259
489	1.079184911
490	1.079086625
491	1.079014138
492	1.078934962
493	1.078858644
494	1.078812644
495	1.078752932
496	1.078674224
497	1.078552199
498	1.078502976
499	1.078471603
500	1.078381643
501	1.078328979
502	1.078263309
503	1.078175495
504	1.078095987
505	1.077986035
506	1.077936446
507	1.077868123
508	1.077798719
509	1.077684745
510	1.077620339
511	1.077546794
512	1.077448793
513	1.077359857
514	1.077294643
515	1.07720548
516	1.077106444
517	1.077046712
518	1.07697164
519	1.076916681
520	1.076832484
521	1.076743139
522	1.076681163
523	1.076593461
524	1.076500172
525	1.076444321
526	1.076358099
527	1.076299493
528	1.076206966
529	1.076086582
530	1.075999517
531	1.075912758
532	1.075804134
533	1.075712872
534	1.075673423
535	1.075600005
536	1.075522255
537	1.075454501
538	1.07538571
539	1.075328827
540	1.075278109
541	1.075209629
542	1.075126135
543	1.075045523
544	1.074950641
545	1.074899954
546	1.074830506
547	1.074752515
548	1.07471107
549	1.074619948
550	1.074562253
551	1.074500864
552	1.074426367
553	1.074346711
554	1.074267446
555	1.074177806
556	1.074092533
557	1.074028807
558	1.073948856
559	1.073871251
560	1.073821134
561	1.073735802
562	1.073651789
563	1.073587575
564	1.07351506
565	1.073441288
566	1.073350088
567	1.07328087
568	1.073213437
569	1.073135044
570	1.073071008
571	1.073001662
572	1.072926962
573	1.072851238
574	1.072752277
575	1.072678858
576	1.072612424
577	1.072554085
578	1.072502201
579	1.072442063
580	1.072386737
581	1.072346299
582	1.072277277
583	1.072205081
584	1.072145897
585	1.072073796
586	1.072014612
587	1.071944739
588	1.071885621
589	1.071827223
590	1.071762803
591	1.071701697
592	1.071666992
593	1.071609419
594	1.071540117
595	1.071465007
596	1.071399249
597	1.071336401
598	1.071250613
599	1.071179512
600	1.071104763
601	1.07104192
602	1.070984517
603	1.070946877
604	1.070879782
605	1.070802601
606	1.070705477
607	1.070641148
608	1.070589563
609	1.070546252
610	1.070492624
611	1.070418721
612	1.070345522
613	1.070262975
614	1.070220364
615	1.070156604
616	1.070087832
617	1.07005312
618	1.069987882
619	1.06991714
620	1.069852721
621	1.069800392
622	1.069736555
623	1.06969479
624	1.069599052
625	1.069527407
626	1.069448694
627	1.069405944
628	1.069338663
629	1.069268846
630	1.069208956
631	1.069165326
632	1.069065457
633	1.068998652
634	1.068949927
635	1.068867887
636	1.068786987
637	1.068724578
638	1.068661563
639	1.068582845
640	1.068511907
641	1.068431287
642	1.068352061
643	1.068309847
644	1.068271938
645	1.068222601
646	1.068166537
647	1.068108912
648	1.06802978
649	1.067961582
650	1.067913516
651	1.06784494
652	1.067785598
653	1.067728033
654	1.067654071
655	1.067552338
656	1.067470038
657	1.067411389
658	1.067340272
659	1.067272675
660	1.067194661
661	1.067136876
662	1.06706781
663	1.067005429
664	1.066954729
665	1.066883529
666	1.06683268
667	1.066779619
668	1.066718661
669	1.06667276
670	1.066638257
671	1.066545893
672	1.066469288
673	1.066396787
674	1.066354886
675	1.066295525
676	1.066236196
677	1.066146397
678	1.066060803
679	1.066009949
680	1.065946874
681	1.065891894
682	1.065843672
683	1.065800737
684	1.065751115
685	1.065682222
686	1.06561134
687	1.065523626
688	1.065443743
689	1.065375137
690	1.065284972
691	1.065222024
692	1.065153489
693	1.065076437
694	1.065017473
695	1.064953875
696	1.06490377
697	1.064837066
698	1.064768493
699	1.06470602
700	1.064630405
701	1.06455785
702	1.064483465
703	1.064416534
704	1.064342479
705	1.06429024
706	1.064224131
707	1.064175796
708	1.064129117
709	1.064070285
710	1.063991709
711	1.063916402
712	1.06386549
713	1.063804689
714	1.063740851
715	1.063683794
716	1.063637429
717	1.063567967
718	1.063509724
719	1.063449444
720	1.063395496
721	1.063342435
722	1.063288008
723	1.063238329
724	1.063178812
725	1.063119917
726	1.063060586
727	1.062999628
728	1.06292888
729	1.06287654
730	1.062835628
731	1.062778577
732	1.062719803
733	1.062638026
734	1.062560658
735	1.062481804
736	1.062422013
737	1.062377848
738	1.062315646
739	1.062262016
740	1.062208837
741	1.062127937
742	1.062053346
743	1.062007742
744	1.06193141
745	1.061867746
746	1.06182773
747	1.061766843
748	1.061704766
749	1.061653834
750	1.061595016
751	1.061550966
752	1.061487466
753	1.061425344
754	1.061354604
755	1.061301862
756	1.061267609
757	1.061186997
758	1.061158056
759	1.061107789
760	1.061031428
761	1.060995475
762	1.060898813
763	1.060844713
764	1.060790853
765	1.060741858
766	1.060682811
767	1.060621318
768	1.060566977
769	1.060509491
770	1.060441012
771	1.060386712
772	1.060340292
773	1.060293068
774	1.060227216
775	1.060158882
776	1.06010708
777	1.060034227
778	1.059991558
779	1.05994383
780	1.059888946
781	1.059817193
782	1.059766465
783	1.059709444
784	1.059660244
785	1.059587995
786	1.059528569
787	1.059447838
788	1.059384919
789	1.059340823
790	1.059283916
791	1.059229519
792	1.059176834
793	1.059110715
794	1.059051125
795	1.059004418
796	1.058963265
797	1.058894028
798	1.058828302
799	1.058776312
800	1.058715881
801	1.058679878
802	1.058637868
803	1.058593409
804	1.05853042
805	1.058481167
806	1.058424176
807	1.058363896
808	1.058294693
809	1.058245983
810	1.058203761
811	1.058136544
812	1.058091894
813	1.058049752
814	1.058014732
815	1.057936002
816	1.05786773
817	1.057813242
818	1.057748452
819	1.057711135
820	1.057656436
821	1.057597563
822	1.057561315
823	1.057529842
824	1.057477564
825	1.057426836
826	1.057386531
827	1.057331739
828	1.057278667
829	1.057205871
830	1.057169773
831	1.057120778
832	1.057082168
833	1.057037127
834	1.056976147
835	1.056935496
836	1.056877799
837	1.056815095
838	1.05675253
839	1.056686562
840	1.056634623
841	1.056570195
842	1.0565187
843	1.056465563
844	1.056416796
845	1.056366432
846	1.056322513
847	1.056258052
848	1.056217736
849	1.056149517
850	1.056104651
851	1.056032708
852	1.055993094
853	1.05595281
854	1.055876224
855	1.055818549
856	1.055760409
857	1.055722068
858	1.055655095
859	1.055603843
860	1.055539387
861	1.055495143
862	1.055464579
863	1.055408953
864	1.055365462
865	1.055320056
866	1.055281858
867	1.055235795
868	1.055157495
869	1.055105681
870	1.055043042
871	1.054987054
872	1.054931959
873	1.054879967
874	1.054820832
875	1.054763824
876	1.054694753
877	1.054638231
878	1.054593669
879	1.054548951
880	1.05449787
881	1.054446057
882	1.054399795
883	1.05434069
884	1.054302526
885	1.054242832
886	1.054166548
887	1.054097434
888	1.054042436
889	1.053990787
890	1.053950208
891	1.053888091
892	1.053847728
893	1.053801063
894	1.053757516
895	1.053718847
896	1.053645056
897	1.053594408
898	1.053561409
899	1.053506913
900	1.053470931
901	1.053429155
902	1.053386062
903	1.053326353
904	1.053299116
905	1.053242465
906	1.053198523
907	1.053154385
908	1.05310472
909	1.053049513
910	1.052999274
911	1.052949366
912	1.05290855
913	1.052862192
914	1.052789941
915	1.05274623
916	1.052694489
917	1.052631308
918	1.052576138
919	1.052529409
920	1.052478407
921	1.052436201
922	1.052370941
923	1.052310994
924	1.052269
925	1.052222155
926	1.052169416
927	1.052140098
928	1.05209003
929	1.05205654
930	1.052005579
931	1.051977225
932	1.051924236
933	1.051875142
934	1.051828259
935	1.051776113
936	1.051739332
937	1.051694483
938	1.051637685
939	1.051621852
940	1.051562949
941	1.051508398
942	1.05146454
943	1.051429146
944	1.05139278
945	1.051343954
946	1.051294702
947	1.051259077
948	1.051212923
949	1.051162886
950	1.051113511
951	1.051068476
952	1.051020437
953	1.050983277
954	1.050930971
955	1.050886815
956	1.050830498
957	1.050790792
958	1.050755204
959	1.050707649
960	1.050642858
961	1.050606911
962	1.050552858
963	1.050523163
964	1.050477005
965	1.050432471
966	1.050382036
967	1.050339569
968	1.050305529
969	1.050266114
970	1.050221545
971	1.050171267
972	1.05013528
973	1.050085012
974	1.050033862
975	1.04999467
976	1.049933447
977	1.049893539
978	1.049858048
979	1.04981553
980	1.049745205
981	1.049694086
982	1.049640818
983	1.04960546
984	1.049549214
985	1.049511214
986	1.049460501
987	1.049415809
988	1.04937818
989	1.049349488
990	1.049321741
991	1.049285863
992	1.049232203
993	1.049192389
994	1.049148837
995	1.049100437
996	1.049035334
997	1.048991533
998	1.048941128
999	1.048894688
